user_input,reference_contexts,reference,synthesizer_name
How many dormitory buildings are available for METU students?,"There are 19 dormitory buildings run by the METU Directorate of Health, Culture and Sports. 
Male students can stay in the Dormitories 2, 4, 6, 8, 9, and İsa Demiray Dormitory, in addition to a certain block allocated to them in Dormitory 19, and Refika Aksoy Dormitory. Female students can stay in the Dormitories 1, 3, 5, 7, and Faika Demiray Dormitory, in addition to a certain block allocated to them in Dormitory 19, and Refika Aksoy Dormitory.
As for the guest houses, Osman Yazıcı Guest House, Guest House 12, and Dormitory 16 are allocated for female students, while Faik Hızıroğlu Guest House and Guest House 15 are allocated for male students.
The Office of Dormitories, with the aim of solving our students' accommodation issues by offering a high standard service, obtained TSE-EN ISO 9001-2000 certificate of quality from the Turkish Standards Institution (TSE) in 2005. Regarding the quality of our dormitory services, the inspections carried out in 2021 in accordance with the TSE-EN ISO 9001:2015 standards were completed with success.
The services provided by our unit are carried out according to the procedures, instructions, duties, and responsibilities determined within the Dormitory Regulations, Student Discipline Regulations of the higher education institutions, decisions taken by the Executive Board of Dormitories, and the certificates of quality.
Therefore, every year, the Executive Board of Dormitories evaluates the dormitory applications of students based on the current capacity of dormitories, the number of applications, and the conditions for staying in the dormitories established in accordance with the aforementioned regulations and approved by the Rectorate. Then, the registration procedures of the students whose applications are accepted are conducted.
We endeavor to provide 24/7 uninterrupted service that includes an environment of respect, love, equality and trust in our dormitories with an understanding that prioritizes a service that is high-quality, transparent, modern but at the same time adherent to the traditions of METU, which can only be achieved with a team spirit.
","There are 19 dormitory buildings managed by the METU Directorate of Health, Culture, and Sports.",single_hop_question_subject_matter_expert
Can male students stay in any dormitory at METU?,"There are 19 dormitory buildings run by the METU Directorate of Health, Culture and Sports. 
Male students can stay in the Dormitories 2, 4, 6, 8, 9, and İsa Demiray Dormitory, in addition to a certain block allocated to them in Dormitory 19, and Refika Aksoy Dormitory. Female students can stay in the Dormitories 1, 3, 5, 7, and Faika Demiray Dormitory, in addition to a certain block allocated to them in Dormitory 19, and Refika Aksoy Dormitory.
As for the guest houses, Osman Yazıcı Guest House, Guest House 12, and Dormitory 16 are allocated for female students, while Faik Hızıroğlu Guest House and Guest House 15 are allocated for male students.
The Office of Dormitories, with the aim of solving our students' accommodation issues by offering a high standard service, obtained TSE-EN ISO 9001-2000 certificate of quality from the Turkish Standards Institution (TSE) in 2005. Regarding the quality of our dormitory services, the inspections carried out in 2021 in accordance with the TSE-EN ISO 9001:2015 standards were completed with success.
The services provided by our unit are carried out according to the procedures, instructions, duties, and responsibilities determined within the Dormitory Regulations, Student Discipline Regulations of the higher education institutions, decisions taken by the Executive Board of Dormitories, and the certificates of quality.
Therefore, every year, the Executive Board of Dormitories evaluates the dormitory applications of students based on the current capacity of dormitories, the number of applications, and the conditions for staying in the dormitories established in accordance with the aforementioned regulations and approved by the Rectorate. Then, the registration procedures of the students whose applications are accepted are conducted.
We endeavor to provide 24/7 uninterrupted service that includes an environment of respect, love, equality and trust in our dormitories with an understanding that prioritizes a service that is high-quality, transparent, modern but at the same time adherent to the traditions of METU, which can only be achieved with a team spirit.
","Male students can stay in Dormitories 2, 4, 6, 8, 9, İsa Demiray and a specific block in Dormitory 19. They also have access to Refika Aksoy Dormitory.",single_hop_question_subject_matter_expert
Are there specific dormitories for female students at METU?,"There are 19 dormitory buildings run by the METU Directorate of Health, Culture and Sports. 
Male students can stay in the Dormitories 2, 4, 6, 8, 9, and İsa Demiray Dormitory, in addition to a certain block allocated to them in Dormitory 19, and Refika Aksoy Dormitory. Female students can stay in the Dormitories 1, 3, 5, 7, and Faika Demiray Dormitory, in addition to a certain block allocated to them in Dormitory 19, and Refika Aksoy Dormitory.
As for the guest houses, Osman Yazıcı Guest House, Guest House 12, and Dormitory 16 are allocated for female students, while Faik Hızıroğlu Guest House and Guest House 15 are allocated for male students.
The Office of Dormitories, with the aim of solving our students' accommodation issues by offering a high standard service, obtained TSE-EN ISO 9001-2000 certificate of quality from the Turkish Standards Institution (TSE) in 2005. Regarding the quality of our dormitory services, the inspections carried out in 2021 in accordance with the TSE-EN ISO 9001:2015 standards were completed with success.
The services provided by our unit are carried out according to the procedures, instructions, duties, and responsibilities determined within the Dormitory Regulations, Student Discipline Regulations of the higher education institutions, decisions taken by the Executive Board of Dormitories, and the certificates of quality.
Therefore, every year, the Executive Board of Dormitories evaluates the dormitory applications of students based on the current capacity of dormitories, the number of applications, and the conditions for staying in the dormitories established in accordance with the aforementioned regulations and approved by the Rectorate. Then, the registration procedures of the students whose applications are accepted are conducted.
We endeavor to provide 24/7 uninterrupted service that includes an environment of respect, love, equality and trust in our dormitories with an understanding that prioritizes a service that is high-quality, transparent, modern but at the same time adherent to the traditions of METU, which can only be achieved with a team spirit.
","Yes, Female students can stay in the Dormitories 1, 3, 5, 7, and Faika Demiray Dormitory, in addition to a certain block allocated to them in Dormitory 19, and Refika Aksoy Dormitory.",single_hop_question_subject_matter_expert
What kind of services does the METU Dormitory Office provide?,"There are 19 dormitory buildings run by the METU Directorate of Health, Culture and Sports. 
Male students can stay in the Dormitories 2, 4, 6, 8, 9, and İsa Demiray Dormitory, in addition to a certain block allocated to them in Dormitory 19, and Refika Aksoy Dormitory. Female students can stay in the Dormitories 1, 3, 5, 7, and Faika Demiray Dormitory, in addition to a certain block allocated to them in Dormitory 19, and Refika Aksoy Dormitory.
As for the guest houses, Osman Yazıcı Guest House, Guest House 12, and Dormitory 16 are allocated for female students, while Faik Hızıroğlu Guest House and Guest House 15 are allocated for male students.
The Office of Dormitories, with the aim of solving our students' accommodation issues by offering a high standard service, obtained TSE-EN ISO 9001-2000 certificate of quality from the Turkish Standards Institution (TSE) in 2005. Regarding the quality of our dormitory services, the inspections carried out in 2021 in accordance with the TSE-EN ISO 9001:2015 standards were completed with success.
The services provided by our unit are carried out according to the procedures, instructions, duties, and responsibilities determined within the Dormitory Regulations, Student Discipline Regulations of the higher education institutions, decisions taken by the Executive Board of Dormitories, and the certificates of quality.
Therefore, every year, the Executive Board of Dormitories evaluates the dormitory applications of students based on the current capacity of dormitories, the number of applications, and the conditions for staying in the dormitories established in accordance with the aforementioned regulations and approved by the Rectorate. Then, the registration procedures of the students whose applications are accepted are conducted.
We endeavor to provide 24/7 uninterrupted service that includes an environment of respect, love, equality and trust in our dormitories with an understanding that prioritizes a service that is high-quality, transparent, modern but at the same time adherent to the traditions of METU, which can only be achieved with a team spirit.
","The METU Dormitory Office provides provide 24/7 uninterrupted service that includes an environment of respect, love, equality and trust in our dormitories with an understanding that prioritizes a service that is high-quality, transparent, modern but at the same time adherent to the traditions of METU, which can only be achieved with a team spirit.",single_hop_question_subject_matter_expert
Is there a fridge provided in METU dormitory rooms?,"There is a mini-fridge in each room. For each student, a studying desk, a chair, a closet for clothes, and a closet for shoes are provided in each room. In addition, the dormitory offers students a bedding set consisting of bed sheet, blanket and pillow. Students can also bring and use their own bedding sets if they prefer to do so (but in this case, washing and cleaning these bedding sets will be their responsibility). In our dormitories, there are common studying rooms, TV rooms, laundry rooms, and kitchens as well as another common room for students of the Department of Architecture so that they can carry out their activities such as drawing. A sufficient number of automatic washing machines, dryers, irons, and ironing boards are available to students in the laundry rooms.
The bedding sets in the room are changed periodically, but if need be, they can be changed outside their regular cycle as well. These bedding sets are washed and ironed in the laundry room, where industrial washing machines are used. There is hot water in our dormitories ready for use 24/7.
","Yes, each room includes a mini-fridge.",single_hop_question_subject_matter_expert
What furniture is provided in each METU dormitory room?,"There is a mini-fridge in each room. For each student, a studying desk, a chair, a closet for clothes, and a closet for shoes are provided in each room. In addition, the dormitory offers students a bedding set consisting of bed sheet, blanket and pillow. Students can also bring and use their own bedding sets if they prefer to do so (but in this case, washing and cleaning these bedding sets will be their responsibility). In our dormitories, there are common studying rooms, TV rooms, laundry rooms, and kitchens as well as another common room for students of the Department of Architecture so that they can carry out their activities such as drawing. A sufficient number of automatic washing machines, dryers, irons, and ironing boards are available to students in the laundry rooms.
The bedding sets in the room are changed periodically, but if need be, they can be changed outside their regular cycle as well. These bedding sets are washed and ironed in the laundry room, where industrial washing machines are used. There is hot water in our dormitories ready for use 24/7.
","Each room has a study desk, a chair, a closet for clothes, and a closet for shoes.",single_hop_question_subject_matter_expert
How often are bedding sets changed in METU dormitories?,"There is a mini-fridge in each room. For each student, a studying desk, a chair, a closet for clothes, and a closet for shoes are provided in each room. In addition, the dormitory offers students a bedding set consisting of bed sheet, blanket and pillow. Students can also bring and use their own bedding sets if they prefer to do so (but in this case, washing and cleaning these bedding sets will be their responsibility). In our dormitories, there are common studying rooms, TV rooms, laundry rooms, and kitchens as well as another common room for students of the Department of Architecture so that they can carry out their activities such as drawing. A sufficient number of automatic washing machines, dryers, irons, and ironing boards are available to students in the laundry rooms.
The bedding sets in the room are changed periodically, but if need be, they can be changed outside their regular cycle as well. These bedding sets are washed and ironed in the laundry room, where industrial washing machines are used. There is hot water in our dormitories ready for use 24/7.
","Bedding sets are changed periodically, with additional changes possible outside the regular cycle if needed. ",single_hop_question_subject_matter_expert
Is transportation available between the city center and METU dormitories?,"There are buses and minibuses operating between the city center and the dormitories between the hours 07.00 and 24.00. Besides, there also are ring busses that operate between dormitories and departments.
","Yes, there are buses and minibuses operating between the city center and METU dormitories from 07:00 to 24:00. Furthermore, there also are ring busses that operate between dormitories and departments.",single_hop_question_subject_matter_expert
Who is eligible to apply for METU dormitories?,"Students whose family resides outside of Ankara can apply for the dormitories. Students who start our university this year, if they want to stay in our dormitories, must fill out the dormitory-related sections on the YKS Registration Program website during their university registration process and thus complete their applications.
",Students whose families reside outside of Ankara can apply for dormitories.,single_hop_question_subject_matter_expert
What factors are considered in the dormitory application process?,"The economic and social situation of each student's family who applies for dormitories is investigated through local administration units. This information obtained from the local authorities and the students' scores/rankings according to YKS are taken into consideration to create an overall score for each student in accordance with the criteria determined by the Executive Board of Dormitories and approved by the Rectorate. The results of applications are announced on the Office of Dormitories website. After learning their scores, students can learn when they can register for the dormitories and the dates for the next student placement through the announcement tables regarding registrations.
The students who have the following ranking success in YKS Exam are placed in the METU dormitories without further consideration of other criteria: ranking in the top 4,000 in Quantitative Field, ranking in the top 500 in Equal Weight Field, ranking in the top 300 in Verbal Field, and ranking in the top 100 in Foreign Language Field.","The economic and social situation of each student's family is considered, along with the student's success ranking in the YKS Exam.",single_hop_question_subject_matter_expert
Are students with high rankings in the YKS Exam given priority for METU dormitories?,"The economic and social situation of each student's family who applies for dormitories is investigated through local administration units. This information obtained from the local authorities and the students' scores/rankings according to YKS are taken into consideration to create an overall score for each student in accordance with the criteria determined by the Executive Board of Dormitories and approved by the Rectorate. The results of applications are announced on the Office of Dormitories website. After learning their scores, students can learn when they can register for the dormitories and the dates for the next student placement through the announcement tables regarding registrations.
The students who have the following ranking success in YKS Exam are placed in the METU dormitories without further consideration of other criteria: ranking in the top 4,000 in Quantitative Field, ranking in the top 500 in Equal Weight Field, ranking in the top 300 in Verbal Field, and ranking in the top 100 in Foreign Language Field.","Yes, students with high YKS Exam rankings are placed in METU dormitories without other considerations.",single_hop_question_subject_matter_expert
How is placement in METU dormitories determined?,"The placement of students to the dormitories are carried out according to their scores. Each week, considering how many rooms and beds remain vacant, new students with lower scores are placed. This placement process continues until all the students, who applied for the dormitories within the application dates, are listed. When a student is entitled to register for the dormitory, they are expected to gather all the required documents and submit them to the Office of Dormitories to complete the registration process.
","Placement is based on students' scores, with room availability checked weekly.",single_hop_question_subject_matter_expert
How is a student's right to stay in the dormitory calculated?,"Your right to stay in the dormitory is calculated by adding one year to the rest of your regular education period.
Notice: The stay of those students will be rendered void, if they have no more rights to stay in the dorm.",The right to stay is calculated by adding one year to the rest of the student's regular education period.,single_hop_question_subject_matter_expert
What happens if a student has no more rights to stay in a METU dormitory?,"Your right to stay in the dormitory is calculated by adding one year to the rest of your regular education period.
Notice: The stay of those students will be rendered void, if they have no more rights to stay in the dorm.",Their stay is rendered void if they have no more rights to remain in the dormitory.,single_hop_question_subject_matter_expert
What if a student did not register for the dormitory within the specified deadlines?,"The student, who had the right to register to the dormitories according to the general points announced, but did not register within the specified deadlines, loses the right to register himself/herself with this general point announced for him/her on the list. In this case the students' points will be calculated again according to late application situation.
",They lose their right to register according to the general points announced. In this case the students' points will be calculated again according to late application situation.,single_hop_question_subject_matter_expert
Are METU dormitories regulated?,"METU student dormitories are managed, run and controlled according to the rules in the Dormitory Regulations. The Dormitory Regulations can be read from bulletin boards of every dorm. We recommend our students to read these regulations.  Moreover, the written information about the regulations in the dorms is handed to the students during registrations to the dorms. 

Going on Leave

Every student has the right to go on a leave for 15 days within a semester other than the weekends and holidays. The students, who will use their leave, should fill out a form, which can be obtained from the dormitory office. The students below the age of 18 should bring a note of permission from their parents to be able to use their leaves. The related form can be obtained from the Directorates of the Dormitories.

Latest entrance hour to the Dormitories

The students residing at the dorms should be within the campus at 23.30. The latest time to enter the dorms is 24.00.

Staying at the Dorms During Holidays

The students, whose education continue during the holidays (due to summer school, project, internship etc.), should present their reasons to stay with an authorized letter. 

Sports Facilities

Around the dormitories, there are basketball courts, volleyball grounds, football fields, tennis courts, open and closed swimming pools, and 2 gyms (which are open till 23.00) 

Dormitory Address

When the students use the dormitory address, they should indicate the number of the dormitory, the number of the room and the number of their bed.","Yes, METU dormitories are managed, run, and controlled according to the Dormitory Regulations.",single_hop_question_subject_matter_expert
Where can students read the METU Dormitory Regulations?,"METU student dormitories are managed, run and controlled according to the rules in the Dormitory Regulations. The Dormitory Regulations can be read from bulletin boards of every dorm. We recommend our students to read these regulations.  Moreover, the written information about the regulations in the dorms is handed to the students during registrations to the dorms. 

Going on Leave

Every student has the right to go on a leave for 15 days within a semester other than the weekends and holidays. The students, who will use their leave, should fill out a form, which can be obtained from the dormitory office. The students below the age of 18 should bring a note of permission from their parents to be able to use their leaves. The related form can be obtained from the Directorates of the Dormitories.

Latest entrance hour to the Dormitories

The students residing at the dorms should be within the campus at 23.30. The latest time to enter the dorms is 24.00.

Staying at the Dorms During Holidays

The students, whose education continue during the holidays (due to summer school, project, internship etc.), should present their reasons to stay with an authorized letter. 

Sports Facilities

Around the dormitories, there are basketball courts, volleyball grounds, football fields, tennis courts, open and closed swimming pools, and 2 gyms (which are open till 23.00) 

Dormitory Address

When the students use the dormitory address, they should indicate the number of the dormitory, the number of the room and the number of their bed.",The Dormitory Regulations can be read from bulletin boards of every dorm,single_hop_question_subject_matter_expert
Do students in METU dormitories have the right to take a leave of absence?,"METU student dormitories are managed, run and controlled according to the rules in the Dormitory Regulations. The Dormitory Regulations can be read from bulletin boards of every dorm. We recommend our students to read these regulations.  Moreover, the written information about the regulations in the dorms is handed to the students during registrations to the dorms. 

Going on Leave

Every student has the right to go on a leave for 15 days within a semester other than the weekends and holidays. The students, who will use their leave, should fill out a form, which can be obtained from the dormitory office. The students below the age of 18 should bring a note of permission from their parents to be able to use their leaves. The related form can be obtained from the Directorates of the Dormitories.

Latest entrance hour to the Dormitories

The students residing at the dorms should be within the campus at 23.30. The latest time to enter the dorms is 24.00.

Staying at the Dorms During Holidays

The students, whose education continue during the holidays (due to summer school, project, internship etc.), should present their reasons to stay with an authorized letter. 

Sports Facilities

Around the dormitories, there are basketball courts, volleyball grounds, football fields, tennis courts, open and closed swimming pools, and 2 gyms (which are open till 23.00) 

Dormitory Address

When the students use the dormitory address, they should indicate the number of the dormitory, the number of the room and the number of their bed.","Yes, students can take a leave of absence for up to 15 days in addition to weekends and holidays within a semester.",single_hop_question_subject_matter_expert
Are there guest houses for students at METU?,"There are 19 dormitory buildings run by the METU Directorate of Health, Culture and Sports. 
Male students can stay in the Dormitories 2, 4, 6, 8, 9, and İsa Demiray Dormitory, in addition to a certain block allocated to them in Dormitory 19, and Refika Aksoy Dormitory. Female students can stay in the Dormitories 1, 3, 5, 7, and Faika Demiray Dormitory, in addition to a certain block allocated to them in Dormitory 19, and Refika Aksoy Dormitory.
As for the guest houses, Osman Yazıcı Guest House, Guest House 12, and Dormitory 16 are allocated for female students, while Faik Hızıroğlu Guest House and Guest House 15 are allocated for male students.
The Office of Dormitories, with the aim of solving our students' accommodation issues by offering a high standard service, obtained TSE-EN ISO 9001-2000 certificate of quality from the Turkish Standards Institution (TSE) in 2005. Regarding the quality of our dormitory services, the inspections carried out in 2021 in accordance with the TSE-EN ISO 9001:2015 standards were completed with success.
The services provided by our unit are carried out according to the procedures, instructions, duties, and responsibilities determined within the Dormitory Regulations, Student Discipline Regulations of the higher education institutions, decisions taken by the Executive Board of Dormitories, and the certificates of quality.
Therefore, every year, the Executive Board of Dormitories evaluates the dormitory applications of students based on the current capacity of dormitories, the number of applications, and the conditions for staying in the dormitories established in accordance with the aforementioned regulations and approved by the Rectorate. Then, the registration procedures of the students whose applications are accepted are conducted.
We endeavor to provide 24/7 uninterrupted service that includes an environment of respect, love, equality and trust in our dormitories with an understanding that prioritizes a service that is high-quality, transparent, modern but at the same time adherent to the traditions of METU, which can only be achieved with a team spirit.
","Yes, METU has guest houses like Osman Yazıcı Guest House, Faik Hiziroglu Guest House, Guest House 12 and 15 and Dormitory 16.",single_hop_question_subject_matter_expert
Is there an executive board overseeing dormitory operations at METU?,"The economic and social situation of each student's family who applies for dormitories is investigated through local administration units. This information obtained from the local authorities and the students' scores/rankings according to YKS are taken into consideration to create an overall score for each student in accordance with the criteria determined by the Executive Board of Dormitories and approved by the Rectorate. The results of applications are announced on the Office of Dormitories website. After learning their scores, students can learn when they can register for the dormitories and the dates for the next student placement through the announcement tables regarding registrations.
The students who have the following ranking success in YKS Exam are placed in the METU dormitories without further consideration of other criteria: ranking in the top 4,000 in Quantitative Field, ranking in the top 500 in Equal Weight Field, ranking in the top 300 in Verbal Field, and ranking in the top 100 in Foreign Language Field.","Yes, the Executive Board of Dormitories evaluates applications based on capacity and the number of applications, and the conditions for staying in the dormitories",single_hop_question_subject_matter_expert
