user_input,reference_contexts,reference
Yurtlarda kalma hakkı öğrenciler için ne anlama geliyor?,"['The Right to Stay in the Dormitory: Your right to stay in the dormitory is calculated by adding one year to the rest of your regular education period.\nNotice: The stay of those students will be rendered void, if they have no more rights to stay in the dorm.']","Yurtlarda kalma hakkı, normal eğitim sürenize bir yıl eklenerek hesaplanır. Ancak, öğrencilerin yurtlarda kalma hakları kalmamışsa, kalışları geçersiz sayılacaktır."
Yurtlarda kalma kurallarını ve bir öğrencinin METU'daki süreleri boyunca orada ne kadar süre yaşayabileceğini açıklayabilir misiniz?,"['The Right to Stay in the Dormitory: Your right to stay in the dormitory is calculated by adding one year to the rest of your regular education period.\nNotice: The stay of those students will be rendered void, if they have no more rights to stay in the dorm.']","Yurtlarda Kalma Hakkı: Yurtlarda kalma hakkınız, normal eğitim sürenize bir yıl eklenerek hesaplanır. Dikkat: Yurtlarda kalma hakları kalmayan öğrencilerin kalışları geçersiz sayılacaktır."
Belirtilen tarihler içinde yurtlara kayıt yaptırmayan öğrencilere ne olur?,"[""The Status of The Students Who Did Not Register Within the Specified Dates: The student, who had the right to register to the dormitories according to the general points announced, but did not register within the specified deadlines, loses the right to register himself/herself with this general point announced for him/her on the list. In this case the students' points will be calculated again according to late application situation.\n""]","Yurtlara kayıt hakkı olan ancak belirtilen süreler içinde bunu yapmayan öğrenciler, kendileri için açıklanan genel puanlar üzerinden kayıt hakkını kaybederler. Bu durumda, puanları geç başvuru durumuna göre yeniden hesaplanacaktır."
"Eğer bir öğrenci yurtlar için zamanında kayıt yaptırmadıysa, geç başvurusu ne olur ve durumu nasıl yönetilir?","[""The Status of The Students Who Did Not Register Within the Specified Dates: The student, who had the right to register to the dormitories according to the general points announced, but did not register within the specified deadlines, loses the right to register himself/herself with this general point announced for him/her on the list. In this case the students' points will be calculated again according to late application situation.\n""]","Öğrencinin, duyurulan genel puanlara göre yurtlara kayıt olma hakkı vardır, ancak belirtilen süreler içinde kayıt yaptırmamışsa, kendisi için listede duyurulan bu genel puanla kayıt olma hakkını kaybeder. Bu durumda öğrencilerin puanları geç başvuru durumuna göre yeniden hesaplanacaktır."
METU'daki yurt düzenlemeleri nelerdir?,"['The Regulations in the Dorms: METU student dormitories are managed, run and controlled according to the rules in the Dormitory Regulations. The Dormitory Regulations can be read from bulletin boards of every dorm. We recommend our students to read these regulations.  Moreover, the written information about the regulations in the dorms is handed to the students during registrations to the dorms. \n\nGoing on Leave\n\nEvery student has the right to go on a leave for 15 days within a semester other than the weekends and holidays. The students, who will use their leave, should fill out a form, which can be obtained from the dormitory office. The students below the age of 18 should bring a note of permission from their parents to be able to use their leaves. The related form can be obtained from the Directorates of the Dormitories.\n\nLatest entrance hour to the Dormitories\n\nThe students residing at the dorms should be within the campus at 23.30. The latest time to enter the dorms is 24.00.\n\nStaying at the Dorms During Holidays\n\nThe students, whose education continue during the holidays (due to summer school, project, internship etc.), should present their reasons to stay with an authorized letter. \n\nSports Facilities\n\nAround the dormitories, there are basketball courts, volleyball grounds, football fields, tennis courts, open and closed swimming pools, and 2 gyms (which are open till 23.00) \n\nDormitory Address\n\nWhen the students use the dormitory address, they should indicate the number of the dormitory, the number of the room and the number of their bed.']","Yurtlardaki Yönetmelikler: ODTÜ öğrenci yurtları, Yurt Yönetmelikleri'ndeki kurallara göre yönetilir, işletilir ve kontrol edilir. Yurt Yönetmelikleri, her yurdun ilan panolarından okunabilir. Öğrencilerimize bu yönetmelikleri okumalarını öneriyoruz. Ayrıca, yurtlardaki yönetmeliklerle ilgili yazılı bilgiler, öğrencilere yurtlara kayıt sırasında verilmektedir."
"Yurt Yönetmeliği, izin alma konusunda ne diyor ve öğrenciler ne kadar süreyle izin alabilir?","['The Regulations in the Dorms: METU student dormitories are managed, run and controlled according to the rules in the Dormitory Regulations. The Dormitory Regulations can be read from bulletin boards of every dorm. We recommend our students to read these regulations.  Moreover, the written information about the regulations in the dorms is handed to the students during registrations to the dorms. \n\nGoing on Leave\n\nEvery student has the right to go on a leave for 15 days within a semester other than the weekends and holidays. The students, who will use their leave, should fill out a form, which can be obtained from the dormitory office. The students below the age of 18 should bring a note of permission from their parents to be able to use their leaves. The related form can be obtained from the Directorates of the Dormitories.\n\nLatest entrance hour to the Dormitories\n\nThe students residing at the dorms should be within the campus at 23.30. The latest time to enter the dorms is 24.00.\n\nStaying at the Dorms During Holidays\n\nThe students, whose education continue during the holidays (due to summer school, project, internship etc.), should present their reasons to stay with an authorized letter. \n\nSports Facilities\n\nAround the dormitories, there are basketball courts, volleyball grounds, football fields, tennis courts, open and closed swimming pools, and 2 gyms (which are open till 23.00) \n\nDormitory Address\n\nWhen the students use the dormitory address, they should indicate the number of the dormitory, the number of the room and the number of their bed.']","Her öğrencinin, hafta sonları ve tatiller dışında bir dönem içinde 15 gün izin alma hakkı vardır. İzin kullanacak öğrencilerin, yurt müdürlüğünden temin edebilecekleri bir form doldurmaları gerekmektedir. 18 yaşından küçük öğrencilerin, izinlerini kullanabilmek için ebeveynlerinden izin belgesi getirmeleri gerekmektedir. İlgili form, Yurtlar Müdürlüğü'nden temin edilebilir."
"Öğrenci Konutları Koordinatörü olarak, yurt başvurularının değerlendirilmesinde yer alan kriterler ve süreçler hakkında, özellikle başvuranların ailelerinin ekonomik ve sosyal durumlarının nasıl değerlendirildiği ve bu bilginin YKS sınavındaki akademik performanslarıyla nasıl entegre olduğu konusunda detay verebilir misiniz?","[""General Information: There are 19 dormitory buildings run by the METU Directorate of Health, Culture and Sports.\xa0\nMale students can stay in the Dormitories 2, 4, 6, 8, 9, and İsa Demiray Dormitory, in addition to a certain block allocated to them in Dormitory 19, and Refika Aksoy Dormitory. Female students can stay in the Dormitories 1, 3, 5, 7, and Faika Demiray Dormitory, in addition to a certain block allocated to them in Dormitory 19, and Refika Aksoy Dormitory.\nAs for the guest houses, Osman Yazıcı Guest House, Guest House 12, and Dormitory 16 are allocated for female students, while Faik Hızıroğlu Guest House and Guest House 15 are allocated for male students.\nThe Office of Dormitories, with the aim of solving our students' accommodation issues by offering a high standard service, obtained TSE-EN ISO 9001-2000 certificate of quality from the Turkish Standards Institution (TSE) in 2005. Regarding the quality of our dormitory services, the inspections carried out in 2021 in accordance with the TSE-EN ISO 9001:2015 standards were completed with success.\nThe services provided by our unit are carried out according to the procedures, instructions, duties, and responsibilities determined within the Dormitory Regulations, Student Discipline Regulations of the higher education institutions, decisions taken by the Executive Board of Dormitories, and the certificates of quality.\nTherefore, every year, the Executive Board of Dormitories evaluates the dormitory applications of students based on the current capacity of dormitories, the number of applications, and the conditions for staying in the dormitories established in accordance with the aforementioned regulations and approved by the Rectorate. Then, the registration procedures of the students whose applications are accepted are conducted.\nWe endeavor to provide 24/7 uninterrupted service that includes an environment of respect, love, equality and trust in our dormitories with an understanding that prioritizes a service that is high-quality, transparent, modern but at the same time adherent to the traditions of METU, which can only be achieved with a team spirit.\n"", ""Evaluation of the Applications: The economic and social situation of each student's family who applies for dormitories is investigated through local administration units. This information obtained from the local authorities and the students' scores/rankings according to YKS are taken into consideration to create an overall score for each student in accordance with the criteria determined by the Executive Board of Dormitories and approved by the Rectorate. The results of applications are announced on the Office of Dormitories website. After learning their scores, students can learn when they can register for the dormitories and the dates for the next student placement through the announcement tables regarding registrations.\nThe students who have the following ranking success in YKS Exam are placed in the METU dormitories without further consideration of other criteria: ranking in the top 4,000 in Quantitative Field, ranking in the top 500 in Equal Weight Field, ranking in the top 300 in Verbal Field, and ranking in the top 100 in Foreign Language Field.""]","Yurt başvurularının değerlendirilmesi, her öğrencinin ailesinin ekonomik ve sosyal durumlarını ve akademik performanslarını dikkate alan kapsamlı bir süreçtir. Öncelikle, yerel yönetim birimleri, yurt konaklaması için başvuran öğrencilerin ailelerinin ekonomik ve sosyal koşullarını araştırır. Bu bilgi, her başvuranın durumuna dair bütünsel bir görüş oluşturulmasına yardımcı olduğu için oldukça önemlidir. Ayrıca, öğrencilerin YKS sınavındaki puanları ve sıralamaları da dikkate alınır. Yurtlar İdare Kurulu, toplanan bilgilere dayanarak her öğrenci için genel bir puan oluşturmak amacıyla Rektörlük tarafından onaylanan belirli kriterler belirlemiştir. Bu değerlendirmelerin sonuçları daha sonra Yurtlar Ofisi web sitesinde ilan edilir, böylece öğrenciler puanlarını görebilir ve kayıt tarihleri hakkında bilgi alabilirler. Özellikle, YKS sınavında, Sayısal Alanda ilk 4,000'de veya Yabancı Dil Alanında ilk 100'de yer alan öğrenciler, diğer kriterlerin dikkate alınmadan ODTÜ yurtlarına yerleştirilir. Bu çift yönlü yaklaşım, yurt yerleştirmelerinde hem akademik başarı hem de sosyo-ekonomik faktörlerin dikkate alınmasını sağlar."
METU'da yurt yerleştirmeleri için öğrenci başvurularının değerlendirilmesinde hangi kriterler ve süreçler yer almaktadır ve Rektörlük bu kararları nasıl etkilemektedir?,"[""General Information: There are 19 dormitory buildings run by the METU Directorate of Health, Culture and Sports.\xa0\nMale students can stay in the Dormitories 2, 4, 6, 8, 9, and İsa Demiray Dormitory, in addition to a certain block allocated to them in Dormitory 19, and Refika Aksoy Dormitory. Female students can stay in the Dormitories 1, 3, 5, 7, and Faika Demiray Dormitory, in addition to a certain block allocated to them in Dormitory 19, and Refika Aksoy Dormitory.\nAs for the guest houses, Osman Yazıcı Guest House, Guest House 12, and Dormitory 16 are allocated for female students, while Faik Hızıroğlu Guest House and Guest House 15 are allocated for male students.\nThe Office of Dormitories, with the aim of solving our students' accommodation issues by offering a high standard service, obtained TSE-EN ISO 9001-2000 certificate of quality from the Turkish Standards Institution (TSE) in 2005. Regarding the quality of our dormitory services, the inspections carried out in 2021 in accordance with the TSE-EN ISO 9001:2015 standards were completed with success.\nThe services provided by our unit are carried out according to the procedures, instructions, duties, and responsibilities determined within the Dormitory Regulations, Student Discipline Regulations of the higher education institutions, decisions taken by the Executive Board of Dormitories, and the certificates of quality.\nTherefore, every year, the Executive Board of Dormitories evaluates the dormitory applications of students based on the current capacity of dormitories, the number of applications, and the conditions for staying in the dormitories established in accordance with the aforementioned regulations and approved by the Rectorate. Then, the registration procedures of the students whose applications are accepted are conducted.\nWe endeavor to provide 24/7 uninterrupted service that includes an environment of respect, love, equality and trust in our dormitories with an understanding that prioritizes a service that is high-quality, transparent, modern but at the same time adherent to the traditions of METU, which can only be achieved with a team spirit.\n"", ""Evaluation of the Applications: The economic and social situation of each student's family who applies for dormitories is investigated through local administration units. This information obtained from the local authorities and the students' scores/rankings according to YKS are taken into consideration to create an overall score for each student in accordance with the criteria determined by the Executive Board of Dormitories and approved by the Rectorate. The results of applications are announced on the Office of Dormitories website. After learning their scores, students can learn when they can register for the dormitories and the dates for the next student placement through the announcement tables regarding registrations.\nThe students who have the following ranking success in YKS Exam are placed in the METU dormitories without further consideration of other criteria: ranking in the top 4,000 in Quantitative Field, ranking in the top 500 in Equal Weight Field, ranking in the top 300 in Verbal Field, and ranking in the top 100 in Foreign Language Field.""]","METU'da yurt yerleştirmeleri için öğrenci başvurularının değerlendirilmesi birkaç kriter ve süreç içermektedir. Her öğrencinin ailesinin ekonomik ve sosyal durumu yerel yönetim birimleri aracılığıyla araştırılmaktadır. Bu bilgiler, öğrencilerin YKS sınavındaki puanları ve sıralamaları ile birlikte, Yurtlar İdare Kurulu tarafından belirlenen ve Rektörlük tarafından onaylanan kriterlere dayalı olarak her öğrenci için genel bir puan oluşturmak amacıyla kullanılmaktadır. Bu başvuruların sonuçları daha sonra Yurtlar Ofisi web sitesinde duyurulmaktadır. Ayrıca, Sayısal Alan'da ilk 4,000'de, Eşit Ağırlık Alanı'nda ilk 500'de, Sözel Alan'da ilk 300'de ve Yabancı Dil Alanı'nda ilk 100'de yer alan öğrenciler, diğer kriterlerin daha fazla dikkate alınmadan METU yurtlarına yerleştirilmektedir. Rektörlük, Yurtlar İdare Kurulu tarafından yapılan kriterlerin ve kararların onaylanmasında önemli bir rol oynamakta, süreçlerin kurumsal standartlar ve düzenlemelerle uyumlu olmasını sağlamaktadır."
METU'da yurt yerleştirmeleri için öğrenci başvurularının değerlendirilmesinde hangi kriterler ve süreçler yer almaktadır ve Rektörlük bu kararları nasıl etkilemektedir?,"[""General Information: There are 19 dormitory buildings run by the METU Directorate of Health, Culture and Sports.\xa0\nMale students can stay in the Dormitories 2, 4, 6, 8, 9, and İsa Demiray Dormitory, in addition to a certain block allocated to them in Dormitory 19, and Refika Aksoy Dormitory. Female students can stay in the Dormitories 1, 3, 5, 7, and Faika Demiray Dormitory, in addition to a certain block allocated to them in Dormitory 19, and Refika Aksoy Dormitory.\nAs for the guest houses, Osman Yazıcı Guest House, Guest House 12, and Dormitory 16 are allocated for female students, while Faik Hızıroğlu Guest House and Guest House 15 are allocated for male students.\nThe Office of Dormitories, with the aim of solving our students' accommodation issues by offering a high standard service, obtained TSE-EN ISO 9001-2000 certificate of quality from the Turkish Standards Institution (TSE) in 2005. Regarding the quality of our dormitory services, the inspections carried out in 2021 in accordance with the TSE-EN ISO 9001:2015 standards were completed with success.\nThe services provided by our unit are carried out according to the procedures, instructions, duties, and responsibilities determined within the Dormitory Regulations, Student Discipline Regulations of the higher education institutions, decisions taken by the Executive Board of Dormitories, and the certificates of quality.\nTherefore, every year, the Executive Board of Dormitories evaluates the dormitory applications of students based on the current capacity of dormitories, the number of applications, and the conditions for staying in the dormitories established in accordance with the aforementioned regulations and approved by the Rectorate. Then, the registration procedures of the students whose applications are accepted are conducted.\nWe endeavor to provide 24/7 uninterrupted service that includes an environment of respect, love, equality and trust in our dormitories with an understanding that prioritizes a service that is high-quality, transparent, modern but at the same time adherent to the traditions of METU, which can only be achieved with a team spirit.\n"", ""Evaluation of the Applications: The economic and social situation of each student's family who applies for dormitories is investigated through local administration units. This information obtained from the local authorities and the students' scores/rankings according to YKS are taken into consideration to create an overall score for each student in accordance with the criteria determined by the Executive Board of Dormitories and approved by the Rectorate. The results of applications are announced on the Office of Dormitories website. After learning their scores, students can learn when they can register for the dormitories and the dates for the next student placement through the announcement tables regarding registrations.\nThe students who have the following ranking success in YKS Exam are placed in the METU dormitories without further consideration of other criteria: ranking in the top 4,000 in Quantitative Field, ranking in the top 500 in Equal Weight Field, ranking in the top 300 in Verbal Field, and ranking in the top 100 in Foreign Language Field.""]","METU'da yurt yerleştirmeleri için öğrenci başvurularının değerlendirilmesi birkaç kriter ve süreç içermektedir. Her öğrencinin ekonomik ve sosyal durumu yerel yönetim birimleri aracılığıyla araştırılır ve bu bilgi, öğrencilerin YKS sınavındaki puanları veya sıralamaları ile birlikte her başvuran için genel bir puan oluşturmak amacıyla kullanılır. Değerlendirme kriterleri Yurtlar İdare Kurulu tarafından belirlenir ve Rektörlük tarafından onaylanır. Başvuruların sonuçları daha sonra Yurtlar Ofisi web sitesinde duyurulur; burada öğrenciler kayıt tarihleri hakkında da bilgi bulabilirler. Özellikle, Sayısal Alan'da ilk 4,000'de, Eşit Ağırlık Alanı'nda ilk 500'de, Sözel Alan'da ilk 300'de ve Yabancı Dil Alanı'nda ilk 100'de yer alan öğrenciler, diğer kriterlerin daha fazla dikkate alınmadan METU yurtlarına yerleştirilir. Bu yapılandırılmış yaklaşım, seçim sürecinin adil ve şeffaf olmasını sağlar ve Rektörlük tarafından belirlenen düzenlemelere uyar."
MİMARLIK BÖLÜMÜ tarafından sunulan ARCH101 dersinin ana amacı nedir?,"['Course: ARCH101\nDepartment: This course belongs to DEPARTMENT OF ARCHITECTURE.\nObjective: The main objective of the course is to prepare architecture students for architectural design and to establish the fundamental skills of design thinking and design exploration. The students are expected to explore organization, form and space using a variety of design elements, materials and digital tools. The formal and tectonic characteristics of design are placed into the focus. Experimental techniques of design thinking and making are emphasized. \nContent:  Introduction to the basic concepts and principles of design. Exercises to develop mental  and  manual  skills  to cope with  design problems. Development of visual values for structuring and articulating two and three dimensional spatial compositions in different media. ']","ARCH101 dersinin ana amacı, mimarlık öğrencilerini mimari tasarıma hazırlamak ve tasarım düşüncesi ile tasarım keşfinin temel becerilerini oluşturmaktır. Öğrencilerin, çeşitli tasarım unsurları, malzemeler ve dijital araçlar kullanarak organizasyonu, biçimi ve mekânı keşfetmeleri beklenmektedir. Ders, tasarımın biçimsel ve tektonik özelliklerine ve tasarım düşüncesi ile yapımının deneysel tekniklerine vurgu yapmaktadır."
"MİMARLIK BÖLÜMÜ'ne ait ARCH102 dersinin ana odak noktası nedir ve bu, sürdürülebilir alanlar tasarlamak için gereken becerilerle nasıl ilişkilidir?","['Course: ARCH102\nDepartment: This course belongs to DEPARTMENT OF ARCHITECTURE.\nObjective: The studio focuses on the fundamental relationship between the design principles studied in ARCH101 and architectural design. The students are expected to investigate and explore architectural notions and physical elements that define architectural space, and acquire the necessary knowledge, attitudes and skills to design small scale, sustainable and resilient architectural spaces. By the end of the course, the students are expected to know the basic principles and concepts of architectural design and be able to deal with simple architectural problems. \nContent:  An intermediate course to prepare the student  for   architectural  design,  aimed  at developing  the skill  for  rapport  between basic design principles and architectural design. ']","ARCH102 dersinin ana odak noktası, MİMARLIK BÖLÜMÜ'ne ait olan ARCH101'de incelenen tasarım ilkeleri ile mimari tasarım arasındaki temel ilişkidir. Ders, öğrencilerin temel tasarım ilkeleri ile mimari tasarım arasındaki ilişkiyi anlama becerilerini geliştirerek mimari tasarıma hazırlanmalarını amaçlamaktadır. Öğrencilerin mimari alanı tanımlayan mimari kavramları ve fiziksel unsurları araştırmaları ve keşfetmeleri beklenmektedir; böylece küçük ölçekli, sürdürülebilir ve dayanıklı mimari alanlar tasarlamak için gerekli bilgi, tutum ve becerileri edinmiş olacaklardır."
